Pertanyaan;Jawaban
Komcad tugas dimana?;Semuanya dipersiapkan untuk dimanfaatkan ketika negara dalam kondisi darurat militer atau bencana alam. Mobilisasi Komcad hanya bisa dilakukan oleh Presiden atas persetujuan DPR RI untuk kepentingan pertahanan negara. Komcad berjumlah 2.974 orang itu ditugaskan ke beberapa Resimen Induk Daerah Militer alias Rindam.
Dimana tempat daftar Komcad?;Pendaftaran Komcad 2023 ini dibuka untuk umum dengan registrasi melalui website komcad.kemhan.go.id
Apakah wanita bisa masuk Komcad?;Direktur Jendral Potensi Pertahanan Kementerian Pertahanan Mayjen TNI Dadang Hendrayudha mengatakan siapa saja boleh mendaftar Komponen Cadangan. Baik pria maupun wanita asalkan berusia 18-35 tahun dan memenuhi syarat lainnya.
Komcad sampai umur berapa?;Syarat umur, batas minimum untuk menjadi KOMCAD adalah 18 tahun dan maksimal 35 tahun dengan masa pengabdian hingga 48 tahun.
Tata cara mendaftar Komcad 2023?;Buka link pendaftaran https://komcad.kemhan.go.id/komcad/, Klik 'Daftar menjadi Komponen  Cadangan', Klik 'Daftar' untuk membuat akun terlebih dahulu, Masukkan nama, NIK, email, nomor HP, password, dan isi captcha, Lalu ikuti langkah pendaftaran lainnya, Selanjutnya buka email yang anda daftarkan untuk melakukan proses verifikasi data, Kemudian, buka link https://komcad.kemhan.go.id/komcad/login untuk melakukan login akun. Masukkan email, kata sandi, dan kode captcha, Setelah berhasil login, klik kembali 'Daftar Menjadi Komponen Cadangan' dan isikan seluruh data yang diminta pada form pendaftaran, termasuk mengunggah dokumen persyaratan, Terakhir, klik 'Simpan' untuk menyelesaikan tahap pendaftaran. Jika sudah berhasil, akan ditampilkan pesan konfirmasi dan nomor peserta pada layar.
Apakah Komcad dapat seragam?;“Mereka dapat seragam, sama seperti kami, ada pangkatnya, tapi yang bedanya baju kami ada tulisan TNI, mereka tertulis Komcad. Mereka juga dapat senjata, ada nomor senjatanya. Tapi seragam dan senjatanya ditaruh di kodim,” terang Tabri. Seleksi Komcad akan dimulai pada 8 Mei 2022 mendatang di Markas Korem di Samarinda
Komcad dibawah siapa?;Pembinaan Komcad dilakukan oleh Kementerian Pertahanan dan Panglima TNI.
Apakah Komcad adalah Wajib Militer?;Bukan. Komponen Cadangan (Komcad) bukan wajib militer. Komponen Cadangan adalah salah satu program sukarela (tidak wajib) yang diamanatkan oleh UU No. 23 Tahun 2019 Tentang Pengelolaan Sumber Daya Nasional untuk Pertahanan Negara.
Kok ada Rekruitmen Anggota Komcad?;Rekrutmen anggota Komcad dilaksanakan untuk merealisasikan SDM Komcad. Negara mempersiapkan cadangan SDM yang terlatih untuk membantu komponen utama, yaitu TNI apabila suatu waktu dibutuhkan ketika negara darurat militer atau bencana alam. SDM Komcad ini akan siap sedia, sudah terorganisir dengan baik, kemampuan dasar militernya telah terlatih dengan baik, maupun kemampuan kesiagaan bencananya.
Kenapa Tidak Memperkuat Alutsista dan Profesionalisme Prajurit TNI Saja?;Memperkuat dan melakukan modernisasi Alutsista dan profesionalisme prajurit TNI terus dilakukan oleh Kementerian Pertahanan dan TNI. Namun penyiapan Komcad untuk pertahanan adalah hal lain yang diamanatkan UU. Keduanya memiliki tujuan yang sama, yaitu memperbesar dan memperkuat kekuatan komponen utama yakni TNI. Komcad menjadi paket lengkap penguatan pertahanan negara bersamaan dengan upaya memperkuat alutsista, karena ketika ancaman perang berlarut datang atau bencana alam besar datang, Komponen Utama (TNI) sangat membutuhkan sokongan dari sumber daya manusia yang sudah terlatih dan terorganisir dengan baik.
Bagaimana setelah selesai pelatihan?;Setelah selesai pelatihan dan dinyatakan lulus, mereka  akan ditetapkan secara resmi sebagai anggota Komcad dan bisa kembali ke profesi awalnya sebagai warga negara sipil. Seluruh atribut kemiliteran yang digunakan untuk latihan, termasuk senjata, dikembalikan ke lembaga pendidikan militer masing-masing sesuai dengan Peraturan Pemerintah No. 3/2021. Untuk menjaga kemampuan Komcad, TNI akan memanggil untuk melakukan penyegaran atau pelatihan kembali minimal selama 12 hari dalam setahun.
Anggota Komcad yang terlatih bisa menjadi preman dan ancaman untuk masyarakat umum?;Anggota Komcad ketika tidak dimobilisasi atau tidak dalam masa pelatihan terikat dengan aturan hukum positif yang berlaku untuk warga sipil. Kekhawatiran terkait hal tersebut bisa dimaklumi, namun Komcad sendiri sejak proses rekruitmen sudah melalui rangkaian tes yang ketat yang dilaksanakan oleh TNI, mulai dari tes psikologi, profiling dan lain – lain. Selain itu, ada penerapan sistem pengawasan yang ketat pula ketika mereka sudah menjadi anggota Komcad guna mecegah hal tersebut.
Ada Ancaman Militerisme dan Pelanggaran HAM pada pembentukan Komcad?;Komcad adalah amanat UU No. 23 Tahun 2019 Tentang Pengelolaan Sumber Daya Nasional untuk Pertahanan Negara. UU tersebut sudah melalui proses legislasi yang panjang, melibatkan banyak pihak. Tujuan memperbesar dan memperkuat Komponen Utama (TNI) bukan merupakan wujud militerisme, melainkan upaya menjaga dan mempersiapkan diri untuk menghadapi ancaman terhadap negara yang kapan saja bisa datang. Komcad bukan upaya memaksa warga sipil agar berlaku militeristik karena tidak ada kewajiban bagi warga negara Indonesia untuk ikut Komcad. Dengan demikian, tidak ada pelanggaran HAM dalam pembentukannya. Bahkan, Komcad adalah implementasi nilai-nilai demokrasi itu sendiri, di mana warga negara bebas memilih jalan dan cara pengabdian dan partisipasinya dalam bela negara. Bisa lewat profesinya masing-masing, dan bisa juga dengan menjadi Komcad.
Komcad ini kok terkesan tiba-tiba?;Tidak. Perencanaan Komcad sudah diamanatkan oleh UU No. 23 Tahun 2019 yang sudah melalui proses perencanaan, proses debat ilmiah, dan proses legislasi yang sangat panjang sampai UU ini disahkan oleh DPR. Pun demikian dengan Peraturan Pemerintah No.3 Tahun 2021, sebagai aturan turunan dari UU ini yang juga dipersiapkan dengan sangat matang melibatkan banyak pihak. Jadi, Komcad bukan program bimsalabim. Komcad adalah amanat UU, serta amanat pendiri bangsaterkait dengan doktrin pertahanan rakyat semesta.
Seberapa penting pembentukan Komponen Cadangan pada saat ini, karena seharusnya Pemerintah fokus pada modernisasi Alutsista dan peningkatan kesejahteraan prajurit?;Pembangunan dan pengadaan Alutsista sudah dianggarkan setiap tahun sesuai kemampuan negara dalam anggaran pertahanan, yang termasuk juga anggaran SDM yang jumlahnya paling besar dalam anggaran Kemhan dan TNI.
Setiap anggota masyarakat yang tidak memenuhi panggilan untuk menjadi Komponen Cadangan terancam hukuman pidana, yang tentunya menyalahi prinsip conscientious objection (hak untuk menolak atas dasar keyakinannya) dalam Norma HAM Internasional, Jelaskan!;UU PSDN yang menjadi dasar hukum pembentukan SDM Komcad mengamanatkan penerimaan Komcad dilakukan atas dasar sukarela tanpa ada paksaan. UU PSDN juga tidak mengabaikan prinsip conscientious objection (hak menolak warga atas dasar keyakinannya), karena konteks pada Pasal 18, 66, 77, 78, dan 79 diterapkan pada mereka yang telah mengikuti/terikat pada status sebagai Komcad, yang pada dasarnya bersifat sukarela dan tidak dipaksa. Artinya tidak ada prinsip yang dilanggar bagi mereka yang menyatakan kesukarelaan, berbeda dengan wajib militer. Hubungan kontraktual membawa konsekuensi kewajiban hukum bagi para pihak yang terlibat di dalamnya.
Luasnya ruang lingkup ancaman dalam Pasal 4 UU PSDN, apakah akan menimbulkan konflik horizontal dan permasalahan tersendiri?;Pengunaan Komcad dalam suatu operasi militer wajib melalui keputusan politik pemerintah, yaitu Presiden dengan persetujuan DPR. Komcad tidak berdiri sendiri, tetapi bergabung dengan Komponen Utama yang komando dan kendalinya berada dibawah Panglima TNI sehingga tidak ada anggota Komcad yang melakukan kegiatan mandiri. Penggunaan Komcad adalah alternatif terakhir, apabila Komponen Utama perlu tambahan tenaga pengganti.
Dalam sejarah Indonesia, proses militerisasi sipil pernah digunakan oleh penguasa untuk mengamankan kekuasaan yang sering menimbulkan kekerasan dan pelanggaran hak asasi manusia. Mohon Penjelasannya.;Pembentukan Komponen Cadangan berbeda dengan pembentukan milisi seperti kelompok-kelompok Pam Swakarsa yang digunakan untuk menghadapi demonstrasi besar mahasiswa yang menolak Sidang Istimewa, dan lain-lain. Perbedaan anggota Pam Swakarsa dengan Komponen Cadangan antara lain : Perekrutan tidak melalui seleksi administrasi dan kompetensi, namun berdasarkan keanggotaan Ormas tertentu. Tidak melaksanakan Latihan Dasar Kemiliteran, sehingga tidak punya standar yang jelas. Penggunaannya tanpa keputusan politik pemerintah. Organisasi Pam Swakarsa tidak ada ikatan operasional dengan TNI, sehingga dapat bergerak sendiri.
Penetapan Komponen Cadangan berupa sumber daya alam dan sumber daya buatan serat sarana dan prasarana nasional mengabaikan prinsip kesukarelaan. Benarkah?;Komponen pendukung dan komponen cadangan merupakan bagian dari hak dan kewajiban masyarakat terlibat dalam pertahanan negara, yang diatur secara teknis dalam UU Nomor 23 tahun 2019. Tidak satupun pasal yang menjelaskan secara eksplisit terkait potensi pengambilalihan sumber daya alam, sumber daya buatan dan sarana dan prasarana lain milik warga negara secara sewenang-wenang oleh negara. Sebaliknya, UU ini mengatur alasan, waktu dan batasan pengerahan dan pemanfaatan komponen pendukung dan komponen cadangan, yang tidak dapat ditafsirkan di luar yang dimaksud UU ini.
Di tengah situasi krisis global akibat pandemi Covid-19, pembentukan komponen cadangan tidak mendesak. Jelaskan!;Pemerintah wajib untuk mempersiapkan secara dini pertahanan negara berdasarkan amanat UU. Secara geografis, Indonesia adalah gerbang bagi kawasan Asia Pasifik sehingga pemerintah memandang perlu untuk mengatur tata kelola pertahanan negara dengan keterlibatan Sumber Daya Nasional tersebut melalui Pembentukan Komponen Cadangan dan Penataan Komponen Pendukung yang saat ini diatur melalui Undang-undang Nomor 23 Tahun 2019 tentang Pengelolaan Sumber Daya Nasional untuk Pertahanan Negara.
Bagaimana sistem pengawasan Komcad setelah selesai dilatih dan ditetapkan agar tidak ada ekses negatif misalnya melakukan kegiatan premanisme?;Sejak proses perekrutan, anggota Komcad melalui tes yang ketat, baik kesamaptaan jasmani, kompetensi, psikologi maunpun mental ideologi sehingga mereka yang lolos untuk dilatih dan ditetapkan sebagai Komcad merupakan WNI pilihan yang  emiliki sifat patriot, disiplin, toleransi, sigap tanggap, rela berkorban, pantang menyerah, peduli sesama, memiliki jiwa pemimpin, dan percaya diri
Siapa saja yang bisa jadi Komcad?;Sehat Jasmani dan Rohani.
Mencampur adukkan istilah Wajib Militer dengan Komcad?;Wajib militer adalah wajib menjadi militer. Komcad aspek SDM adalah warga negara nirmiliter/sipil yang memenuhi syarat dilatih dasar kemiliteran dan diorganisir dengan status tetap sipil. Pada saat digunakan melalui mobilisasi baru berubah menjadi kombatan/milter.
Sanksi ancaman hukuman bagi yang tidak ikut dalam Komcad?;Tidak semua warga negara diwajibkan menjadi komcad. Bagi warga negara yang memenuhi kritera dan telah lulus seleksi untuk menjadi komcad jika menolak tanpa alas an yang sah dapat dikenakan sanksi. Bagi warga negara yang secara sukarela mendaftarkan diri dan lulus seleksi, bila tanpa alasan yang sah mengundurkan diri akan dapat dikenakan sanksi.
Biaya yang telalu besar untuk melatih warga negara menjadi Komcad?;Anggaran melatih warga negara untuk menjadi anggota komponen cadangan tidak terlalu besar. Biaya untuk pengeloaan komcad hanya digunakan untuk membentuk, melatih paling lama 30 hari dalam satu tahun., dan mengorganisasi anggota komcad yang telah diangkat dan/atau ditetapkan. Negara tidak mengeluarkan biaya untuk membayar gaji dan tunjangan lainnya kepada anggota komcad sebagaimana prajurit TNI. Diperkirakan anggaran yang dibutuhkan untuk komcad kurang dari 1 % anggaran pertahanan.
Kemhan selama ini tidak pernah membuat perencanaan jangka panjang dan strategi pembentukan Komcad?;Komcad masuk dalam UU NO.17/2007 ttg RPJPN (2005- 2025), Jakum Hanneg (2005-200 dan 2010-2014), Postur Hanneg (Produk staregis 2010-2029
Mengapa RUU Komcad menjadi prioritas untuk segera diundangkan?;Sesuai amanat UU No. 3/2002 ttg Hanneg, untuk menghadapi ancaman militer system pertahanan negara ditopang oleh tiga komponen yaitu komponen utama, komponen cadangan dan komponen pendukung. RUU Komcad merupakan bagian dari pembangunan sistem pertahanan negara yang bersisfat semesta yang harus disiapkan sejak dini oleh pemerintah  (sejak UU  No.3/2002 diundangkan sampai sekarang sudah  8 tahun UU Komcad belum terwujud. Sebelum RUU Komcad diundangkan, maka pelibatan SDN dan sarprasnas dalam rangka sishanta tidak dapat direalisasikan.
Tugas Komcad setelah pendidikan?;Komcad bertugas memperbesar dan memperkuat kekuatan dan kemampuan Komponen Utama dalam menghadapi ancaman demi menjaga kedaulatan dan keutuhan NKRI.
Bagaimana caranya menjadi komponen cadangan?;Mendaftar melalui website/aplikasi mobile pendaftaran Komponen Cadangan, Setelah mendaftar sebagai Komponen Cadangan melalui website/aplikasi mobile, selanjutnya akan diarahkan untuk mengikuti seleksi penerimaan Komponen Cadangan *) seleksi menggunakan sistem gugur, Pengumuman lolos seleksi calon Komponen Cadangan, Lastsarmil (Latihan Dasar Militer) selama 3 bulan, Pengumuman kelulusan latsarmil,Penetapan menjadi Komponen Cadangan pertahanan negara.
Apa hak menjadi komponen cadangan?;Hak menjadi Komponen Cadangan antara lain: Uang saku selama menjalani pelatihan, Tunjangan operasi pada saat mobilisasi, Rawatan Kesehatan, Pelindungan jaminan kecelakaan kerja dan jaminan kematian, Penghargaan.
Apa itu Kompenen cadangan?;Komponen cadangan adalah Sumber Daya Nasional yang disiapkan untuk dikerahkan melalui mobilisasi guna memperkuat kekuatan dan kemampuan Komponen Utama. Sumber Daya Nasional ini terdiri dari Sumber Daya Manusia, Sumber Daya Alam dan Sumber Daya Buatan. Komponen cadangan bersifat sukarela, dimana penggunaan Komponen Cadangan hanya pada saat Mobilisasi oleh  Presiden dengan persetujuan DPR, jika berada di keadaan non aktif Komponen Cadangan akan menjadi warga negara seperti biasa dengan profesinya baik masyarakat,  ASN,  Mahasiswa, atau lainnya.
Setelah pelatihan Komcad jadi apa?;Setelah lulus dan resmi menjadi anggota Komcad, maka PNS bisa kembali bekerja di instansi masing-masing. Namun, mereka bisa sewaktu-waktu dipanggil kembali oleh TNI untuk mengikuti pelatihan tambahan sebagai bentuk penyegaran untuk memastikan kemampuannya masih terjaga.
Apakah anggota Komcad mendapat gaji?;Jika ada PNS yang mengikuti program tersebut, maka dipastikan mereka akan menerima gaji dan uang saku.
Apakah Komcad sama dengan wamil?;Apakah Komcad sama dengan wamil?
Apa yang dimaksud dengan Komcad TNI?;Mengutip keterangan di situs PPDI Kementerian Pertahanan, Komcad yang merupakan singkatan dari Komponen Cadangan bukanlah wajib militer.
Apa itu Komcad matra laut?;Komcad Matra Laut merupakan komponen masyarakat yang telah diseleksi dan dilatih untuk disiapkan sebagai alat pertahanan yang digerakkan melalui mobilisasi dalam keadaan perang untuk meningkatkan kekuatan TNI Angkatan Laut.
Apa itu Komcad matra udara?;Komcad Matra Udara ini berfungsi untuk memperkuat komponen utama yakni TNI AU untuk mengabdi dalam usaha pertahanan negara yang dilaksanakan secara sukarela.
Siapa saja yang bisa Mendaftar Komcad?;Setiap warga negara yang berusia 18-35 tahun, dengan latar belakang apa saja yang memenuhi persyaratan bisa secara sukarela mendaftar menjadi anggota Komcad. Namun, tentu setelah mendaftar harus lulus seleksi ketat yang dilaksanakan oleh TNI.
Apa Urgensi Komcad?;Setelah dinyatakan lulus seleksi, maka akan mendapatkan pelatihan militer dasar selama 3 bulan di pusat-pusat pelatihan militer milik TNI, baik TNI AD, AL maupun AU. Selama masa pelatihan, bila calon anggota Komcad tersebut berprofesi sebagai ASN atau karyawan swasta, akan tetap mendapatkan haknya dari instansi tempat mereka bekerja. Selain itu negara juga akan memberikan uang saku, jaminan asuransi dan kebutuhan lainya selama pelatihan. Bila anggota Komcad tersebut adalah mahasiswa maka mereka tetap memperoleh hak mereka sebagai mahasiswa.
Kok ada Rekruitmen Anggota Komcad?;Negara-negara besar lainnya, telah mengorganisir dengan baik Komcad mereka, Amerika Serikat melalui Garda Nasionalnya, Singapura pun demikian, bahkan jumlah jauh lebih besar. Selain itu, memperhatikan perkembangan lingkungan strategis yang terus membutuhkan persiapan dan kesiapan pertahanan yang kuat untuk mengantisipasi ancaman terhadap kedaulatan NKRI, maupun ancaman lainnya, termasuk bencana alam, Komponen Utama (TNI) harus selalu siap sedia. Dalam hal ini Komcad akan memperbesar dan memperkuat kekuatan TNI.
Batalyon-Batalyon Komcad akan ditempatkan di;Batalyon-Batalyon Komcad akan ditempatkan di daerah-daerah yang tidak memiliki satuan TNI setingkat Kodim dengan tujuan sebagai pelapis dan pendukung kekuatan utama.
Apakah atribut Komcad bisa di bawa pulang?;Namun atribut tersebut itu tidak diperkenankan dibawa pulang, melainkan disimpan atau dititipkan di Kodim setempat.
Kapan komponen Cadangan berakhir?;Komponen Cadangan akan berakhir  antara lain jika:  
Bisakah Komcad naik pangkat?;Untuk kepangkatan Komcad akan hanya ada saat mereka bertugas sebagai Komcad. Namun, sebagai warga negara sipil, Komcad tidak berpangkat. Sesuai PP No 3 Tahun 2021 Pasal 58 Komponen Cadangan yang telah dilantik akan diberikan pangkat mengacu pada penggolongan pangkat Tentara Nasional Indonesia.
Mengapa harus ada Komponen Cadangan?;Komponen Cadangan merupakan faktor penting dalam postur pertahanan negara Indonesia. Undang-Undang Nomor 3 Tahun 2002 tentang Pertahanan Negara menjelaskan bahwa pertahanan negara Indonesia diselenggarakan melalui Sistem Pertahanan Semesta, dimana dalam sistem tersebut melibatkan seluruh warga negara, wilayah serta segenap sumber daya nasional yang dipersiapkan secara dini oleh pemerintah dan diselenggarakan secara total, terarah dan berlanjut.
Apakah di negara lain ada komponen cadangan?;Sebagian negara memiliki Komponen Cadangan sebagai bagian sistem pertahanan negara. Secara umum fungsi Komponen Cadangan adalah fungsi mobilisasi dan fungsi demobilisasi. 
Komponen Cadangan terdiri dari aspek apa saja?;1. Warga Negara, 2.  Sumber Daya Alam, 3. Sumber Daya Buatan, 4. Sarana dan Prasarana Nasional
Bagaiman struktur kepanitian pusat penyelenggaraan seleksi Komponen Cadangan TA 2023?;Pengarah: Menhan, Wakil Pengarah: Wamenhan, Penanggung Jawab : Sekjen Kemhan, Ketua Panitia Pusat: Dirjen Pothan, Ketua Panitia Seleksi Matra Darat: Aspers Kasad, Ketua Panitia Seleksi Matra Laut : Aspers Kasal, Ketua Panitia Seleksi Matra Udara : Aspers Kasau
Apa saja persyaratan lain dari seleksi penerimaan Komponen Cadangan?;Laki-laki bukan anggota prajurit TNI/Polri, Berijazah min SMP/sederajat, Bagi Mahasiswa atas persetujuan rektor/dekan, Bagi ASN hrs mendapat izin dari HRD, Bersedia dimobilisasi di seluruh wilayah NKRI,Mengikuti seleksi yg diselenggarakan oleh panitia (Administrasi dan kompetensi).
Apakah Komponen Cadangan memiliki seperti anggota militer?;Komponen Cadangan yang telah dilantik diberikan pangkat mengacu pada penggolongan pangkat Tentara Nasional Indonesia. Pangkat ini hanya digunakan pada masa aktif Komponen Cadangan.
Apa saja sasaran dalam penyelenggaraan penerimaan Komponen Cadangan?;Terpenuhinya alokasi komponen cadangan matra darat TA 2023 sebanyak 1.500 orang, Terpenuhinya alokasi komponen cadangan matra laut TA 2023 sebanyak 500 orang, Terpenuhinua alokasi komponen cadangan matra udara TA 2023 sebanyak 500 orang, Terpilihnya calon komponen cadangan matra darat TA 2023 yang memenuhi persyaratan administrasi dan kompetensi, Terpilihnya calon komponen cadangan matra laut TA 2023 yang memenuhi persyaratan administrasi dan kompetensi, Terpilihnya calon komponen cadangan matra udara TA 2023 yang memenuhi persyaratan administrasi dan kompetensi
Apakah perbedaan TNI dan Komponen Cadangan?;"Sistem pertahanan negara dalam menghadapi ancaman militer menempatkan Tentara Nasional Indonesia sebagai ""Komponen Utama"" dengan didukung oleh ""Komponen Cadangan"" dan ""Komponen Pendukung"". Berbeda dengan TNI yang merupakan angkatan bersenjata negara Indonesia yang berperan sebagai alat negara di bidang pertahanan, Komponen Cadangan merupakan komponen pertahanan dalam sistem pertahanan rakyat semesta yang dianut Republik Indonesia yang berfungsi untuk memperkuat Komponen Utama pertahanan yakni TNI. Proses rekruItmen Komponen Cadangan dibuka secara sukarela dan memiliki syarat-syarat tertentu untuk dipenuhi oleh peserta program tersebut."
Apakah negara lain juga memiliki Komponen Cadangan? ;Sebagian negara memiliki Komponen Cadangan sebagai bagian sistem pertahanan negara. Secara umum fungsi Komponen Cadangan adalah fungsi mobilisasi dan fungsi demobilisasi. Pola pengangkatannya melalui kewajiban bagi mereka yang memenuhi syarat kesehatan dan syarat-syarat lainnya, dan melalui pendaftaran secara sukarela.
Kapan pendaftaran Komponen Cadangan?;Anda dapat melihat jadwal pendaftaran seleksi Komponen Cadangan pada website resmi Komponen Cadangan Kementerian Pertahanan RI, atau aplikasi mobile pendaftaran Komponen Cadangan Kementerian Pertahanan RI.
Dimana Pendaftaran Komponen Cadangan;Anda dapat melakukan pendaftaran Komponen Cadangan pada website resmi pendaftaran Komponen Cadangan Kementerian Pertahanan RI pada link (komcad.kemhan.go.id), atau aplikasi mobile pendaftaran Komponen Cadangan Kementerian Pertahanan RI yang dapat diunduh melalui Playstore atau Appstore.
Bagaimana tahapan menjadi Komponen Cadangan?;Pelatihan dasar kemiliteran, Penetapan komponen cadangan, Pengabdian.
